structure,operation,input,size,time_ns
Treap,insert,sorted,7500,673356
Treap,search_hit,sorted,7500,1135465
Treap,search_miss,sorted,7500,562323
Treap,remove,sorted,7500,719504
AVL,insert,sorted,7500,1110839
AVL,search_hit,sorted,7500,706382
AVL,search_miss,sorted,7500,376667
AVL,remove,sorted,7500,726548
TreeMap,insert,sorted,7500,500614
TreeMap,search_hit,sorted,7500,554438
TreeMap,search_miss,sorted,7500,349029
TreeMap,remove,sorted,7500,361117
Treap,insert,reverse,7500,628993
Treap,search_hit,reverse,7500,1064341
Treap,search_miss,reverse,7500,613508
Treap,remove,reverse,7500,753866
AVL,insert,reverse,7500,993730
AVL,search_hit,reverse,7500,614889
AVL,search_miss,reverse,7500,266705
AVL,remove,reverse,7500,709765
TreeMap,insert,reverse,7500,500439
TreeMap,search_hit,reverse,7500,428164
TreeMap,search_miss,reverse,7500,289256
TreeMap,remove,reverse,7500,374596
Treap,insert,partial,7500,1396123
Treap,search_hit,partial,7500,1089767
Treap,search_miss,partial,7500,604552
Treap,remove,partial,7500,1207444
AVL,insert,partial,7500,1339540
AVL,search_hit,partial,7500,734204
AVL,search_miss,partial,7500,383830
AVL,remove,partial,7500,1015086
TreeMap,insert,partial,7500,783644
TreeMap,search_hit,partial,7500,556484
TreeMap,search_miss,partial,7500,325877
TreeMap,remove,partial,7500,695810
Treap,insert,random,10000,2887388
Treap,search_hit,random,10000,2507618
Treap,search_miss,random,10000,726058
Treap,remove,random,10000,2426735
AVL,insert,random,10000,2420815
AVL,search_hit,random,10000,1597105
AVL,search_miss,random,10000,344098
AVL,remove,random,10000,2333668
TreeMap,insert,random,10000,1458029
TreeMap,search_hit,random,10000,1144376
TreeMap,search_miss,random,10000,274673
TreeMap,remove,random,10000,1626060
Treap,insert,sorted,10000,880074
Treap,search_hit,sorted,10000,1357389
Treap,search_miss,sorted,10000,700500
Treap,remove,sorted,10000,858274
AVL,insert,sorted,10000,1384984
AVL,search_hit,sorted,10000,909772
AVL,search_miss,sorted,10000,390946
AVL,remove,sorted,10000,805556
TreeMap,insert,sorted,10000,640377
TreeMap,search_hit,sorted,10000,617934
TreeMap,search_miss,sorted,10000,495991
TreeMap,remove,sorted,10000,442420
Treap,insert,reverse,10000,885936
Treap,search_hit,reverse,10000,1316516
Treap,search_miss,reverse,10000,606767
Treap,remove,reverse,10000,796549
AVL,insert,reverse,10000,1418507
AVL,search_hit,reverse,10000,880875
AVL,search_miss,reverse,10000,341739
AVL,remove,reverse,10000,857500
TreeMap,insert,reverse,10000,654274
TreeMap,search_hit,reverse,10000,565892
TreeMap,search_miss,reverse,10000,253498
TreeMap,remove,reverse,10000,494892
Treap,insert,partial,10000,2172870
Treap,search_hit,partial,10000,1495863
Treap,search_miss,partial,10000,632839
Treap,remove,partial,10000,1562474
AVL,insert,partial,10000,1805867
AVL,search_hit,partial,10000,892444
AVL,search_miss,partial,10000,433964
AVL,remove,partial,10000,1441169
TreeMap,insert,partial,10000,993230
TreeMap,search_hit,partial,10000,666515
TreeMap,search_miss,partial,10000,451156
TreeMap,remove,partial,10000,897270

